conv_id,speaker,utterance,persona,path,topic
14,1,"hey , pretty cool . my 3 dogs are waiting patiently for their walks .", i'm practically a chef !.  i am a fan of animals.  i enjoy life.  my father was in the car industry.,cool - blow - out - restaurant,blow
14,0,"that is cool. the first one is a cool breeze, the second one is a cool breeze and the third one is a cool breeze.",,,
14,1,blow to you., i'm practically a chef !.  i am a fan of animals.  i enjoy life.  my father was in the car industry.,cool - blow - out - restaurant,out
14,0,im fine thanks.,,,
14,1,its nice to see you out., i'm practically a chef !.  i am a fan of animals.  i enjoy life.  my father was in the car industry.,cool - blow - out - restaurant,restaurant
14,0,i like the ambiance of the restaurant.,,,
15,1,i'm good . filming myself putting on makeup for my youtube channel, the best animal is the smartest in the ocean.  i am a you tube star.  i like watching videos online.  my dad makes commercials.  i make documentaries about video games.,youtube - company - bmw - car,company
15,0,you should work at a well-known youtube channel,,,
15,1,ive been thinking about it., the best animal is the smartest in the ocean.  i am a you tube star.  i like watching videos online.  my dad makes commercials.  i make documentaries about video games.,youtube - company - bmw - car,bmw
15,0,"i have been thinking about it, but i dont have a car.",,,
15,1,have you got a bmw?, the best animal is the smartest in the ocean.  i am a you tube star.  i like watching videos online.  my dad makes commercials.  i make documentaries about video games.,youtube - company - bmw - car,car
15,0,i have been thinking about getting a car. what kind of car do you think i should get?,,,
16,1,i hate that irma came ., i enjoy living in florida keys.  i've lived in a lot of different places.  i prefer animation to live action.  i love audiobooks.  my family has become acquainted with famous people.,hate - like - oil - restaurant,like
16,0,is irma the worst guest you have ever had?,,,
16,1,irma has been very nice to my mom., i enjoy living in florida keys.  i've lived in a lot of different places.  i prefer animation to live action.  i love audiobooks.  my family has become acquainted with famous people.,hate - like - oil - restaurant,oil
16,0,"well irma, we should get back to you in 3 years.",,,
16,1,my family would pay less if you could help us find low cost oil., i enjoy living in florida keys.  i've lived in a lot of different places.  i prefer animation to live action.  i love audiobooks.  my family has become acquainted with famous people.,hate - like - oil - restaurant,restaurant
16,0,can you help me find good restaurants in the keys near you.,,,
17,1,"oh you know , working hard to reach my dreams .", i want to create cartoons for a major studio.  mozart is my muse.  i like to set things up.  i'm artistic.,dream - bed - go - restaurant,bed
17,0,you should go for a dream vacation and catch up on some sleep.,,,
17,1,"i would love to go to bed, i love sleeping.", i want to create cartoons for a major studio.  mozart is my muse.  i like to set things up.  i'm artistic.,dream - bed - go - restaurant,go
17,0,you should go out for a bit of a walk. what kind of a restaurant would you recommend?,,,
17,1,we should go to a go place., i want to create cartoons for a major studio.  mozart is my muse.  i like to set things up.  i'm artistic.,dream - bed - go - restaurant,restaurant
17,0,"you should try the local restaurants, it is good food.",,,
18,1,i do ! we have a kevin at the church my dad preached at !, my method of transportation is dilapidated.  i learned to play the piano as a child.  my father is a godly man.  i like to relax.  i dropped out of school.,kevin - slang - measure - travel,slang
18,0,cool.,,,
18,1,i do too., my method of transportation is dilapidated.  i learned to play the piano as a child.  my father is a godly man.  i like to relax.  i dropped out of school.,kevin - slang - measure - travel,measure
18,0,measure is such an underrated word. it is really difficult to spell and i can't spell it. measure has so many different meanings.,,,
18,1,my boss loves measure. its a great tool for measuring things., my method of transportation is dilapidated.  i learned to play the piano as a child.  my father is a godly man.  i like to relax.  i dropped out of school.,kevin - slang - measure - travel,travel
18,0,you can definitely use measure to travel. how much do you weigh?,,,
19,1,"hello , nice to meet you too .", i wish i had a boyfriend.  batman is my favorite hero.  i am picky when it comes to smart phones.  i need two screens.  i like reading books online.,meet - fit - out - restaurant,fit
19,0,do you want any help in finding a perfect fit for you?,,,
19,1,what do you find attractive about fit to your body?, i wish i had a boyfriend.  batman is my favorite hero.  i am picky when it comes to smart phones.  i need two screens.  i like reading books online.,meet - fit - out - restaurant,out
19,0,do you like the fit to your body to be tight or loose?,,,
19,1,"tight makes me feel good, loose makes me feel good.", i wish i had a boyfriend.  batman is my favorite hero.  i am picky when it comes to smart phones.  i need two screens.  i like reading books online.,meet - fit - out - restaurant,restaurant
19,0,i am very picky about my food.,,,
20,1,i bet it feels invigorating !, i am in school.  i don't have any brothers or sisters.  my golden retriever is named ginger.  i like italian meals.,invigorate - invigorating - energy - travel,invigorating
20,0,it does feel invigorating when you go for a run.,,,
20,1,"it is invigorating for the body, it's invigorating for the mind.", i am in school.  i don't have any brothers or sisters.  my golden retriever is named ginger.  i like italian meals.,invigorate - invigorating - energy - travel,energy
20,0,energy is invigorating but it can be bad for your health too.,,,
20,1,my energy is invigorating., i am in school.  i don't have any brothers or sisters.  my golden retriever is named ginger.  i like italian meals.,invigorate - invigorating - energy - travel,travel
20,0,"i am not a huge fan of traveling, i am going to go explore nature.",,,
21,1,wow that's a lot i am sitting here with my dog tiki," i would like to become an elementary school teacher.  i like children.  i like hot texas , mexican.  i own a small dog.",sit - government - tricameral - camera,government
21,0,what kind of laws do you like the most?,,,
21,1,"i like the laws passed by the house republicans, as they are much more fair."," i would like to become an elementary school teacher.  i like children.  i like hot texas , mexican.  i own a small dog.",sit - government - tricameral - camera,tricameral
21,0,why is that?,,,
21,1,"you should get some help from the government, its not too complicated after you get to know how things work."," i would like to become an elementary school teacher.  i like children.  i like hot texas , mexican.  i own a small dog.",sit - government - tricameral - camera,camera
21,0,you always seem very cool when you are around tiki when he is lying on the couch watching tv and his head is sticking out of the couch.,,,
22,1,hey hows it going tonight, i am a dog lover.  i am a hard working individual.  i like going fast.  i want to see the new films.,tonight - day - segment - travel,day
22,0,hows it going in this day?,,,
22,1,"its been a long day, i just woke up.", i am a dog lover.  i am a hard working individual.  i like going fast.  i want to see the new films.,tonight - day - segment - travel,segment
22,0,what part of the day did you wake up in?,,,
22,1,i was waking up at five., i am a dog lover.  i am a hard working individual.  i like going fast.  i want to see the new films.,tonight - day - segment - travel,travel
22,0,"wow, you woke up at 5 AM, and went to bed at 5 AM.",,,
23,1,i like tennis and the color green and animals, my dad used to be employed at general electrics.  sports are fun.  i adore cats.  i am partial to shades of grass and teal.  i want to sing professionally.,green - snooker - develop - camera,snooker
23,0,have you seen snooker recently?,,,
23,1,"i like snooker, its fun.", my dad used to be employed at general electrics.  sports are fun.  i adore cats.  i am partial to shades of grass and teal.  i want to sing professionally.,green - snooker - develop - camera,develop
23,0,why are you interested in develop?,,,
23,1,i saw this new game which combines the two., my dad used to be employed at general electrics.  sports are fun.  i adore cats.  i am partial to shades of grass and teal.  i want to sing professionally.,green - snooker - develop - camera,camera
23,0,so you are into photography then?,,,
24,1,"i am good . watching casino , robert deniro is my favorite actor .", winter is my favorite season.  i feel at home on the water.  i have the over night shift in customer service.  i've a lot of money.  i like the guy that plays in mobster rolls.,actor - pit - olive - restaurant,pit
24,0,you must be a fan of the game. you can learn to beat the game with just a little practice.,,,
24,1,"what do you prefer to bet on, slots or video poker?", winter is my favorite season.  i feel at home on the water.  i have the over night shift in customer service.  i've a lot of money.  i like the guy that plays in mobster rolls.,actor - pit - olive - restaurant,olive
24,0,"i usually go to the olive, it is a low cost option.",,,
24,1,the olive can be low cost if you know how to work it., winter is my favorite season.  i feel at home on the water.  i have the over night shift in customer service.  i've a lot of money.  i like the guy that plays in mobster rolls.,actor - pit - olive - restaurant,restaurant
24,0,"the restaurant is a favorite of mine, they have the best pizza.",,,
25,1,"feeling good , tell me about yourself .", i'm a competitive dancer.  i enjoy classic literature.  i'm one of two boys in my family.  i always volunteer to bring the dessert to a birthday party.,feel - touch - touchpad - laptop,touch
25,0,touch. do you like being touch by other people?,,,
25,1,yes touching is fun., i'm a competitive dancer.  i enjoy classic literature.  i'm one of two boys in my family.  i always volunteer to bring the dessert to a birthday party.,feel - touch - touchpad - laptop,touchpad
25,0,do you have a touchpad laptop?,,,
25,1,"i am not really a fan of touchpads, i use my laptop instead.", i'm a competitive dancer.  i enjoy classic literature.  i'm one of two boys in my family.  i always volunteer to bring the dessert to a birthday party.,feel - touch - touchpad - laptop,laptop
25,0,do you prefer laptops or touchpads?,,,
26,1,"listening to pink , i always listen to this when i'm painting .", alecia beth moore is on while i paint.  i'm a great artist.  i have a long commute.  my spouse is a great cook.,pink - slang - go - travel,slang
26,0,"i love slang, i think it's the greatest.",,,
26,1,the slang helps me paint and focus better., alecia beth moore is on while i paint.  i'm a great artist.  i have a long commute.  my spouse is a great cook.,pink - slang - go - travel,go
26,0,"you should go and try some out first then, you will like it too.",,,
26,1,i never tried going go before., alecia beth moore is on while i paint.  i'm a great artist.  i have a long commute.  my spouse is a great cook.,pink - slang - go - travel,travel
26,0,"i will help with your trip to this go event, you will have a blast.",,,
27,1,hello . i am a nurse and i love books and movie in my spare time, i do not eat meat.  i help people in the medical profession.  i have a great imagination.  i like the theatrical showing of richard gere and julia roberts.  i rely a lot on technology.,nurse - treat - do - travel,treat
27,0,"if you were a treat nurse, how would you help people?",,,
27,1,i'd give them a massage or some tea., i do not eat meat.  i help people in the medical profession.  i have a great imagination.  i like the theatrical showing of richard gere and julia roberts.  i rely a lot on technology.,nurse - treat - do - travel,do
27,0,i do not know the difference between treatment and do. is a patient more likely to get treatment and do?,,,
27,1,the do includes medical treatments as well as exercise., i do not eat meat.  i help people in the medical profession.  i have a great imagination.  i like the theatrical showing of richard gere and julia roberts.  i rely a lot on technology.,nurse - treat - do - travel,travel
27,0,"if you are a patient, do you go to the hospital or do you go to do?",,,
28,1,i am pretty upset right now," i go to europe every year.  i am a science major at john hopkins university.  when it is warm out , i like to build things.  i've a step mom.",upset - overturn - move - travel,overturn
28,0,what upset you?,,,
28,1,it was pretty upsetting," i go to europe every year.  i am a science major at john hopkins university.  when it is warm out , i like to build things.  i've a step mom.",upset - overturn - move - travel,move
28,0,you should move your things to your new apartment.,,,
28,1,"i was gonna move, but i got into a huge argument."," i go to europe every year.  i am a science major at john hopkins university.  when it is warm out , i like to build things.  i've a step mom.",upset - overturn - move - travel,travel
28,0,did you argue about moving?,,,
29,1,as good as a 300 pound man can be ., i'm overweight.  i watch television.  i like sweets.  i am not a woman.,pound - blow - out - restaurant,blow
29,0,i think you should go for a blow out.,,,
29,1,"that is what we call a ""blow out"".", i'm overweight.  i watch television.  i like sweets.  i am not a woman.,pound - blow - out - restaurant,out
29,0,"you should eat at a restaurant like ""the blow"".",,,
29,1,"that is a common restaurant for the ""blow"" and ""out""", i'm overweight.  i watch television.  i like sweets.  i am not a woman.,pound - blow - out - restaurant,restaurant
29,0,"you should go to this ""out"" restaurant, they are really good.",,,
30,1,great ! just finished with classes . i could use a cup of joe !, i like to be comfortable.  i am half a student.  i enjoy sweet sugary treats.  i like my female office mate.,cup - boi - top - laptop,boi
30,0,you should get a good boi to do your coffee then.,,,
30,1,"i have a great boi, he has great coffee and even takes my order and remembers what i order.", i like to be comfortable.  i am half a student.  i enjoy sweet sugary treats.  i like my female office mate.,cup - boi - top - laptop,top
30,0,did you know that top can be a good male boi as well?,,,
30,1,i like my boi because he is very helpful and takes care of me., i like to be comfortable.  i am half a student.  i enjoy sweet sugary treats.  i like my female office mate.,cup - boi - top - laptop,laptop
30,0,did you know that you can play top at laptop these days.,,,
31,1,"well , hello yourself other bipedal carbon life form !", i've three other siblings.  i've not seen germany.  outdoors is life.  i do some different things.,carbon - photolithoautotroph - energy - travel,photolithoautotroph
31,0,do you know what that is?,,,
31,1,that's a microbe that feeds itself on carbon dioxide., i've three other siblings.  i've not seen germany.  outdoors is life.  i do some different things.,carbon - photolithoautotroph - energy - travel,energy
31,0,how do photolithoautotroph and carbon energy interact?,,,
31,1,"to be even more scientific about it, the energy generated is harnessed with the help of solar cells to do the work.", i've three other siblings.  i've not seen germany.  outdoors is life.  i do some different things.,carbon - photolithoautotroph - energy - travel,travel
31,0,do you travel a lot?,,,
32,1,hello i'm ray from florida where are you from, i'm interested in the thoughts of others.  i like reading.  i share my feelings online.  i don't have strong feelings about the story that i finished.  i am now partnering with bloomsbury and simon shuster.,ray - sun - photoheliograph - camera,sun
32,0,did you know that the sun is a hot star.,,,
32,1,i love the sun., i'm interested in the thoughts of others.  i like reading.  i share my feelings online.  i don't have strong feelings about the story that i finished.  i am now partnering with bloomsbury and simon shuster.,ray - sun - photoheliograph - camera,photoheliograph
32,0,what is your favorite photoheliograph?,,,
32,1,"i love the photoheliograph i use to take photos, i am planning to take more nature photos.", i'm interested in the thoughts of others.  i like reading.  i share my feelings online.  i don't have strong feelings about the story that i finished.  i am now partnering with bloomsbury and simon shuster.,ray - sun - photoheliograph - camera,camera
32,0,where do you take your photos?,,,
33,1,she's okay . . . i am more into tacos lol, i mumble while asleep.  mexican food is something that i enjoy eating.  i like to spend the weekend watching films at home.  milo is purring in my ear.,lol - pejorative - gentleman - restaurant,pejorative
33,0,are you the kind of girl i can have fun with?,,,
33,1,"yeah, it depends on how you define fun.", i mumble while asleep.  mexican food is something that i enjoy eating.  i like to spend the weekend watching films at home.  milo is purring in my ear.,lol - pejorative - gentleman - restaurant,gentleman
33,0,i am not interested in gentleman.,,,
33,1,are women more likely to be gentlemen?, i mumble while asleep.  mexican food is something that i enjoy eating.  i like to spend the weekend watching films at home.  milo is purring in my ear.,lol - pejorative - gentleman - restaurant,restaurant
33,0,the restaurant is very expensive.,,,
34,1,"good good , real good . swam 200 laps and aced a test !", i like to work out.  i enjoy being part of the crowd.  i love to be under water.  i am continuing my education.,ace - aro - leprosy - clothes,aro
34,0,congratulations on aro.,,,
34,1,thanks, i like to work out.  i enjoy being part of the crowd.  i love to be under water.  i am continuing my education.,ace - aro - leprosy - clothes,leprosy
34,0,were you diagnosed with leprosy?,,,
34,1,leprosy is a serious disease., i like to work out.  i enjoy being part of the crowd.  i love to be under water.  i am continuing my education.,ace - aro - leprosy - clothes,clothes
34,0,what clothes do you wear when you take a bath at the hospital.,,,
35,1,i am from a city called alsip in illinois, i do not like well done beef.  my puppy picked my two soulmates.  i do not like certain vegetables.  i love trying new things.,illinois - state - precede - travel,state
35,0,"i know this, but i want to know which state you are from.",,,
35,1,i love going to new states. that's why i want to go to new states., i do not like well done beef.  my puppy picked my two soulmates.  i do not like certain vegetables.  i love trying new things.,illinois - state - precede - travel,precede
35,0,which city in illinois do you live in priya?,,,
35,1,i live in chicago., i do not like well done beef.  my puppy picked my two soulmates.  i do not like certain vegetables.  i love trying new things.,illinois - state - precede - travel,travel
35,0,"you should go to a new city for vacation, and take your laptop.",,,
36,1,yes it is very difficult but so worth it when they're older, i have 7 pets.  i've a great job.  i don't eat meat.  i sew my own shirts.  i'm employed in animal safety and rescue.,difficult - test - out - restaurant,test
36,0,testing is hard but so worth it.,,,
36,1,i am going to get my children to test their skills., i have 7 pets.  i've a great job.  i don't eat meat.  i sew my own shirts.  i'm employed in animal safety and rescue.,difficult - test - out - restaurant,out
36,0,i think your children will pass.,,,
36,1,they are very good at out., i have 7 pets.  i've a great job.  i don't eat meat.  i sew my own shirts.  i'm employed in animal safety and rescue.,difficult - test - out - restaurant,restaurant
36,0,you can't beat restaurant quality food with this test.,,,
37,1,hey ! its going good .," me and my sibling , both have crimson locks.  i want to be a singer.  i discovered a way to recover from an illness.  i'm a megalomaniac.  people call me weird names.",plot - bed - go - restaurant,bed
37,0,so are you going to bed now?,,,
37,1,how will you recover?," me and my sibling , both have crimson locks.  i want to be a singer.  i discovered a way to recover from an illness.  i'm a megalomaniac.  people call me weird names.",plot - bed - go - restaurant,go
37,0,go is the best restaurant near you!,,,
37,1,you should spend more time with family and your loved ones.," me and my sibling , both have crimson locks.  i want to be a singer.  i discovered a way to recover from an illness.  i'm a megalomaniac.  people call me weird names.",plot - bed - go - restaurant,restaurant
37,0,what food do you love eating?,,,
38,1,oh i'm sorry to hear that hope you feel better ., i hate the beach.  i'm a proud mother.  helping heal people is my profession.  my spouse works in a hospital taking care of others.,hear - get - out - restaurant,get
38,0,you should get out of the house more.,,,
38,1,get out of the house and have fun., i hate the beach.  i'm a proud mother.  helping heal people is my profession.  my spouse works in a hospital taking care of others.,hear - get - out - restaurant,out
38,0,should you do that when you are in a city?,,,
38,1,you should get out of the house and have fun., i hate the beach.  i'm a proud mother.  helping heal people is my profession.  my spouse works in a hospital taking care of others.,hear - get - out - restaurant,restaurant
38,0,i recommend you get out of the house more.,,,
39,1,"hi jerome , i'm liza .", the cops tend to watch me closer than others.  i like mr happy.  i like going for a run.  i am one of those people that have more than one dog.,liza - fish - compound - laptop,fish
39,0,"i love fish, they are so cute.",,,
39,1,"liza loves fish too, she used to have a fish tank full of them.", the cops tend to watch me closer than others.  i like mr happy.  i like going for a run.  i am one of those people that have more than one dog.,liza - fish - compound - laptop,compound
39,0,do you want to try some fish compound?,,,
39,1,"let me get the fish compound, im allergic.", the cops tend to watch me closer than others.  i like mr happy.  i like going for a run.  i am one of those people that have more than one dog.,liza - fish - compound - laptop,laptop
39,0,"ah, you don't want to make that mistake. if you make the wrong choice, you will have fish compound in your laptop",,,
40,1,"i'm doing very well , thank you . getting ready to walk the dog ."," my closest , and best buddy is quite peculiar.  i eat meat.  i've continued on with my education.  my job entails writing.",thank - express - go - restaurant,express
40,0,do you like express?,,,
40,1,i have not used express in a long time.," my closest , and best buddy is quite peculiar.  i eat meat.  i've continued on with my education.  my job entails writing.",thank - express - go - restaurant,go
40,0,what about go?,,,
40,1,i hardly use the go app. my phone makes all its own trips.," my closest , and best buddy is quite peculiar.  i eat meat.  i've continued on with my education.  my job entails writing.",thank - express - go - restaurant,restaurant
40,0,do you like eating at restaurants?,,,
41,1,i'm good . tired from snorkeling and running around with my komodo lizards ., i live by the ocean.  i have a weird hobby of hunting giant reptiles in remote locations !.  i like fruit.  i've an eclectic taste in music.  love my iphone and wouldn't trade it for any other type of phone.,snorkel - mouth - back - travel,mouth
41,0,"do you have a large mouth, can you drink alot of water?",,,
41,1,i do not have a large mouth. i can drink alot of water too., i live by the ocean.  i have a weird hobby of hunting giant reptiles in remote locations !.  i like fruit.  i've an eclectic taste in music.  love my iphone and wouldn't trade it for any other type of phone.,snorkel - mouth - back - travel,back
41,0,"you should wear a back pack, then you can travel further.",,,
41,1,i'm not sure why i have a back pack., i live by the ocean.  i have a weird hobby of hunting giant reptiles in remote locations !.  i like fruit.  i've an eclectic taste in music.  love my iphone and wouldn't trade it for any other type of phone.,snorkel - mouth - back - travel,travel
41,0,"you should take a trip, maybe to some exotic locations.",,,
42,1,"yes , i enjoy reading novels and poetry books", fictional books and personal writings are genres i enjoy reading.  i work in an organizational setting.  i want to write for a living.  my mom works in a library with books.,poetry - rest - out - restaurant,rest
42,0,"it has been awhile, have you been having a rest?",,,
42,1,"i have been having a rest, i think i need to take more rest.", fictional books and personal writings are genres i enjoy reading.  i work in an organizational setting.  i want to write for a living.  my mom works in a library with books.,poetry - rest - out - restaurant,out
42,0,how about out to a restaurant?,,,
42,1,"if you want out to a nice restaurant, then i do not have a problem with that.", fictional books and personal writings are genres i enjoy reading.  i work in an organizational setting.  i want to write for a living.  my mom works in a library with books.,poetry - rest - out - restaurant,restaurant
